id,folder_name,album_slug,album_url,cover_thumbnail_filename,smugmug_image_id,parsed_make,parsed_model,parsed_body_style,parsed_color_raw,luxury_tier,is_vehicle,is_duplicate,missing_thumbnail,is_malformed,is_name_slug_mismatch,homepage_worthy,launch_featured,needs_review
63,Jeep Wrangler JL Rubicon,Jeep-Wrangler-JL-Rubicon,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Jeep-Wrangler-JL-Rubicon,00-L.jpg,i-ztMcLWf,Jeep,Wrangler,SUV,,standard,true,false,false,false,false,false,false,false
64,Lamborghini Huracan EVO Spyder Green,Lamborghini-Huracan-EVO-Spyder-Green,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-EVO-Spyder-Green,00-L.jpg,i-CptJNNL,Lamborghini,Huracan,Convertible/Spyder,,ultra-luxury,true,false,false,false,false,false,false,false
65,Lamborghini Huracan EVO Spyder Red,Lamborghini-Huracan-EVO-Spyder-Red,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-EVO-Spyder-Red,01-L.jpg,i-kX9DFmD,Lamborghini,Huracan,Convertible/Spyder,,ultra-luxury,true,true,false,false,false,false,false,true
66,Rolls Royce Dawn Satin White,Rolls-Royce-Dawn-Satin-White,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Rolls-Royce-Dawn-Satin-White,01-L.jpg,i-MnQqTWK,Rolls-Royce,Dawn,,,ultra-luxury,true,false,false,false,false,false,false,false
67,Maserati Ghibli SQ4,Maserati-Ghibli-SQ4,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Maserati-Ghibli-SQ4,01-L.jpg,i-stCmChG,Maserati,Ghibli,Sedan,,ultra-luxury,true,false,false,false,false,false,false,false
68,Lamborghini Huracan Spyder Grey,Lamborghini-Huracan-Spyder-Grey,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-Spyder-Grey,01-L.jpg,i-Gd7ptrH,Lamborghini,Huracan,Convertible/Spyder,,ultra-luxury,true,false,false,false,false,false,false,false
69,Lexus GX460,Lexus-GX460,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lexus-GX460,01-L.jpg,i-WFRPW6V,Lexus,GX460,SUV,,standard,true,false,false,false,false,false,false,false
70,Bentley Bentayga Hybrid,Bentley-Bentayga-Hybrid,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Bentley-Bentayga-Hybrid,01-L.jpg,i-4hHTkSn,Bentley,Bentayga,SUV,,ultra-luxury,true,false,false,false,false,false,false,false
71,Lamborghini Urus Blue,Lamborghini-Urus-Blue,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Urus-Blue,01-L.jpg,i-FGz39vj,Lamborghini,Urus,SUV,,ultra-luxury,true,false,false,false,false,false,false,false
72,Porsche 911 991 Carrera S,Porsche-911-991-Carrera-S,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Porsche-911-991-Carrera-S,01-L.jpg,i-qTV5LSn,Porsche,911,,,premium,true,false,false,false,false,false,false,false
